Site,Method,ResponseId,duration,date,language,metadata_Browser,metadata_Version,metadata_Operating_System,metadata_Resolution,NPS,NPS_GROUP,npswhy,Finished,visit_date,motivations_normalroutine,motivations_supportsite,motivations_relax,motivations_spendtime,motivations_show,motivations_showplus2,motivations_fun_group,motivations_education_group,motivations_education_self,motivations_fun_self,motivations_other,motivations_area,motivations_other_text,exprogshow_explo,exprogshow_explo_4_TEXT,OER,oerwhy,why_oerbad_explo_1,why_oerbad_explo_2,why_oerbad_explo_3,why_oerbad_explo_4,why_oerbad_explo_5,why_oerbad_explo_6,why_oerbad_explo_7,why_oerbad_explo_8,why_oerbad_explo_9,why_oerbad_explo_10,why_oerbad_explo_11,why_oerbad_explo_11_TEXT,previsit_health,postvisit_health,explain_health_good,explain_health_bad,how_handson,explo_healthpractice_1,explo_healthpractice_2,explo_healthpractice_3,explo_healthpractice_4,explo_healthpractice_5,explo_healthpractice_6,explo_healthpractice_7,explo_healthpractice_8,entrytime,ed_quality,ent_quality,valuecost,acton_belonging,exgoodorder,staff_helpful,cafe_exp,giftshop_exp,web_helpful,museum_clean,wayfinding,staff_friendly,restrooms,ratings_ctsc_subway,ratings_ctsc_concessions,timing_explo_First_Click,timing_explo_Last_Click,timing_explo_Page_Submit,timing_explo_Click_Count,seedo_explo_1,seedo_explo_4,seedo_explo_10,seedo_explo_11,seedo_explo_12,seedo_explo_13,seedo_explo_5,seedo_explo_6,seedo_explo_7,seedo_explo_8,seedo_explo_9,seedo_explo_8_TEXT,why_sf_explo_1,why_sf_explo_2,why_sf_explo_3,why_sf_explo_4,why_sf_explo_5,why_sf_explo_6,why_sf_explo_7,why_sf_explo_7_TEXT,howhear_explo_1,howhear_explo_4,howhear_explo_5,howhear_explo_6,howhear_explo_7,howhear_explo_8,howhear_explo_9,howhear_explo_10,howhear_explo_11,howhear_explo_12,howhear_explo_3,howhear_explo_3_TEXT,adremember_explo,adaffect_explo,howarrive_explo,howarrive_explo_5_TEXT,groupmembers_explo_1,groupmembers_explo_4,groupmembers_explo_5,groupmembers_explo_6,groupmembers_explo_7,groupmembers_explo_8,groupmembers_explo_9,groupmembers_explo_3,groupmembers_explo_3_TEXT,language_explo_1,language_explo_4,language_explo_5,language_explo_6,language_explo_7,language_explo_8,language_explo_9,language_explo_10,language_explo_11,language_explo_12,language_explo_13,language_explo_14,language_explo_15,language_explo_16,language_explo_17,language_explo_18,language_explo_19,language_explo_20,language_explo_21,language_explo_22,language_explo_23,language_explo_24,language_explo_3,language_explo_3_TEXT,evermarried_explo,childrenotwith_explo,explo_emergadult,liveinus,zip,non_US,group,lastvisit_covid,lastvisit,howmanyvisits,Nadults,Nchild,race_amind_alask,race_asian,race_afram,race_hisp_lat,race_haw_pacis,race_white,race_other,race_notsay,race_other_text,lgbt,education,education_7_TEXT,income,income_pre,income_covid,disability,dis_mobility,dis_visual,dis_auditory,dis_learning,dis_cognitive,dis_other,dis_notsay,dis_other_text,age,adult1_gender,gender_3_TEXT,adult2_age,adult3_age,adult4_age,adult5_age,adult6_age,adult7_age,adult8_age,adult9_age,adult10_age,adult2_gender,adult3_gender,adult4_gender,adult5_gender,adult6_gender,adult7_gender,adult8_gender,adult9_gender,adult10_gender,adult10plus,child1_age,child2_age,child3_age,child4_age,child5_age,child6_age,child7_age,child8_age,child9_age,child10_age,child1_gender,child2_gender,child3_gender,child4_gender,child5_gender,child6_gender,child7_gender,child8_gender,child9_gender,child10_gender,child10plus,comments,member,AAM_Region,Museum_Type,Size,timezone,month,CY,QR,exittime,staytime0,staytime,day_of_week,weekend,quarter,FY,FYQ,adult1_age,state,race_norace,tot_boy,tot_girl,tot_childgen_other,tot_childgen_notsay,tot_male,tot_female,tot_other,tot_gennotsay,tot_0_3,tot_4_7,tot_8_12,tot_13_17,tot_childage_notsay,tot_childage_dontknow,tot_18_24,tot_25_34,tot_35_44,tot_45_54,tot_55_64,tot_65,tot_agenotsay,tot_agedontknow,zips_explo
the Exploratorium,Staffed,R_7Vbgl72N39YJ5bX,271.11,7/1/21,EN,Safari iPad,14.0.2,iPad,768x1024,8,Passive, ,TRUE, , , , , , , ,Yes, , , , , , , , ,Outstanding, , , , , , , , , , , , , ,Not at all concerned, , , ,Comfortable,Requiring a mask or face covering for all guests and staff indoors,Having hand sanitizer available for guests to use,"Sanitizing ""high touch"" areas and exhibits frequently", , , , , ,11:00 AM,10,9,10, ,9,10, ,10, , , , , , , ,2.928,18.319,19.201,6,Visited the indoor exhibit galleries,Visited the outdoor exhibit gallery,Visited the temporary exhibition - Stories of Change, , , , ,Went to one or both of the museum stores, , , , ,Visiting friends or family, , , , , , , , , ,I read about it in a travel guide, , , , , , , , , ,No, ,Driving, , ,Family (with children), , , , , , , ,English, , , , , , , , , , , , , , , , , , , , , , , ,Yes,No, ,Yes,22042, ,My group included out-of-towners only, ,Never,1,2,1, , , ,Hispanic or Latino/a/x, ,White, , , ,No,College degree, , ,"$100,000 - $149,999", ,No, , , , , , , , ,47,Woman, ,18-24, , , , , , , , ,Man, , , , , , , , , ,13-17, , , , , , , , , ,Girl, , , , , , , , , , , ,2,West,Science,Large,Pacific,July,2021,tablet,13:47:52,10072,2-3 hrs,Thursday,M-F,3rd quarter,22,Jul-Sep 2021,45-54,Virginia,race identified,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,outside (Bay Area)
the Exploratorium,Staffed,R_3fOZ2TIZE8aIIHD,298.499,7/1/21,EN,Safari iPad,14.0.2,iPad,768x1024,9,Promoter, ,TRUE, , , , , , , ,Yes, , , , , , , , ,Excellent, , , , , , , , , , , , , ,Not at all concerned, , , ,Comfortable, ,Having hand sanitizer available for guests to use,"Sanitizing ""high touch"" areas and exhibits frequently", , , , , ,10:45 AM,9,9,9, ,9,9, , , , , , , , , ,6.717,13.62,17.08,6,Visited the indoor exhibit galleries,Visited the outdoor exhibit gallery, , , , ,Saw a live demonstration / program / film / lecture, , , , , ,Visiting friends or family, , , , , , , ,I have known about the Exploratorium for a long time, , , , , , , , , , , ,No, ,"Ride service (Taxy, Lyft, Uber, etc.)", , ,Family (with children), , , , , , , ,English, , , , , , , , , , , , , , , , , , , , , , , ,Yes,Yes, ,Yes,95492, ,My group included out-of-towners only, ,2-5 years ago,1,2,2, , , , , ,White, , , ,No,College degree, , ,"$250,000 - $300,000", ,No, , , , , , , , ,50,Man, ,25-34, , , , , , , , ,Woman, , , , , , , , , ,13-17,7-Apr, , , , , , , , ,Boy,Girl, , , , , , , , , , ,2,West,Science,Large,Pacific,July,2021,tablet,14:21:41,13001,3-4 hrs,Thursday,M-F,3rd quarter,22,Jul-Sep 2021,45-54,California,race identified,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,Sonoma
the Exploratorium,Staffed,R_bvfkjfE5WZZqwaB,96.773,7/1/21,EN,Safari iPad,14.0.1,iPad,768x1024, , ,Test,TRUE, , , ,Yes, , , , , ,Yes, , , , , , ,Good, , ,It was too crowded, , , ,There were not enough scientific explanations offered, , , ,It was not worth the admission price, , ,Extremely concerned, , , ,Uncomfortable, , , , , ,Limiting guests to 50% of normal capacity, , ,9:30 AM,6,6,6, ,8,8,8,8, , , , , , , ,1.667,3.748,4.442,4,Visited the indoor exhibit galleries, , , , , , , ,Ate in one of the restaurants, , , ,Visiting friends or family, , ,I work in San Francisco, , , , ,I have known about the Exploratorium for a long time, , , , , , , , , , , , , , , , , , , , , , , , ,English, , , , , , , , , , , , , , , ,Spanish, , , , , , , , , , , , , , , , , , , , , ,Black or African American, , , , , , ,No,Graduate degree, , ,"$100,000 - $149,999", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Test, ,West,Science,Large,Pacific,July,2021,tablet,14:27:47,17867,4-5 hrs,Thursday,M-F,3rd quarter,22,Jul-Sep 2021,Not reported, ,race identified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, 
the Exploratorium,Staffed,R_1OvsBMmGU14SUgs,246.183,7/1/21,EN,Safari iPad,14.0.2,iPad,768x1024,10,Promoter, ,TRUE, , , , ,Yes, , , , , ,Yes, , , , , ,Excellent,Exhibits, , , , , , , , , , , , ,Moderately concerned,Fully addressed my concerns,Loved the hand sanitizer stations, ,Comfortable,Requiring a mask or face covering for all guests and staff indoors,Having hand sanitizer available for guests to use,"Sanitizing ""high touch"" areas and exhibits frequently", ,Limiting the number of guests by making reservations for a specific date and time to visit, , , ,11:30 AM,10,10,10, ,10,10,10,10, , , , , , , ,2.483,10.014,10.815,8,Visited the indoor exhibit galleries,Visited the outdoor exhibit gallery,Visited the temporary exhibition - Stories of Change, , , , ,Went to one or both of the museum stores,Ate in one of the restaurants, , , , , , , , ,Vacation trip, , , , , , , ,It was listed on my CityPass, , , , , , ,No, ,Driving, , ,Family (with children),Significant other, , , , , , ,English, , , , , , , , , , , , , , , , ,Tagalog, , , , , , ,Yes,Yes, ,Yes,92057, ,My group included out-of-towners only, ,Never,1,2,3, , , , ,Native Hawaiian or Pacific Islander,White, , , ,Yes,Graduate degree, , ,"$250,000 - $300,000", ,Yes,Mobility, , , , , , , ,33,Woman, ,25-34, , , , , , , , ,Man, , , , , , , , , ,12-Aug,12-Aug,13-17, , , , , , , ,Non-binary,Girl,Boy, , , , , , , , , ,2,West,Science,Large,Pacific,July,2021,tablet,14:28:40,10720,2-3 hrs,Thursday,M-F,3rd quarter,22,Jul-Sep 2021,25-34,California,race identified,1,1,1,0,1,1,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,outside (Bay Area)
the Exploratorium,Staffed,R_0chxQYkv2Ccf3wt,941.742,7/1/21,EN,Safari iPad,14.0.2,iPad,768x1024,10,Promoter, ,TRUE, , , , , , , ,Yes, , ,Yes, , , , , ,Good,"Fun, interactive and variety", , , , , , , , , , , , ,Not at all concerned, , , ,Unsure,Requiring a mask or face covering for all guests and staff indoors,Having hand sanitizer available for guests to use,"Sanitizing ""high touch"" areas and exhibits frequently",Having staff and volunteers enforce face covering guidelines, , , , ,12:45 PM,10,8,7, ,7,10, , , , , , , , , ,4.73,13.632,14.545,6,Visited the indoor exhibit galleries, , , , , ,Saw a live demonstration / program / film / lecture, , , , , , , , , , ,Vacation trip, , , ,I heard about it from friends/family, , , , , , , , , , ,No, ,Walking or biking, ,Friend(s), , , , , , , , ,English, , , , , , , , , , , , , , , , , , , , , , , ,No,No, ,Yes,1532, ,My group included out-of-towners only, ,Never,1,2,0, ,Asian or Asian American, , , ,White, , , ,Yes,Some college, , ,Don't know, ,No, , , , , , , , ,19,Woman, ,18-24, , , , , , , , ,Woman, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Thank you }:),2,West,Science,Large,Pacific,July,2021,tablet,14:48:05,7385,2-3 hrs,Thursday,M-F,3rd quarter,22,Jul-Sep 2021,18-24,Massachusetts,race identified,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,outside (Bay Area)
the Exploratorium,Staffed,R_sOwQFvF8Qy3L3Vv, ,7/1/21,EN,Safari iPad,14.0.1,iPad,768x1024,8,Passive,Because it was an adventure that was amazing with all this amazing science,TRUE, , , , ,Yes, , ,Yes, , , , , , , , ,Excellent, , , , , , , , , , , , , ,A little concerned,Mostly addressed my concerns, , ,Somewhat comfortable,Requiring a mask or face covering for all guests and staff indoors,Having hand sanitizer available for guests to use,"Sanitizing ""high touch"" areas and exhibits frequently",Having staff and volunteers enforce face covering guidelines,Limiting the number of guests by making reservations for a specific date and time to visit,Limiting guests to 50% of normal capacity, , ,11:00 AM,4,9,6, ,9,7, , , , , , , , , ,1.458,43.259,44.527,8,Visited the indoor exhibit galleries,Visited the outdoor exhibit gallery,Visited the temporary exhibition - Stories of Change, , , , , , , , , , , , , , ,Vacation trip, , , ,I heard about it from friends/family, , , , , , , , , , ,Yes,No,Driving, , ,Family (with children), , , , , , , ,English, , , ,French, , , , , , , , , , , , , , , , , , , ,No,No, ,Yes,20706, ,My group included out-of-towners only, ,Never,1,2,3, , ,Black or African American, , , , , , ,No,Graduate degree, , ,Prefer not to say, ,No, , , , , , , , ,30,Woman, ,35-44, , , , , , , , , , , , , , , , , , ,12-Aug,12-Aug,7-Apr, , , , , , , ,Girl,Girl,Girl, , , , , , , , , ,2,West,Science,Large,Pacific,July,2021,tablet,15:02:48,14568,4-5 hrs,Thursday,M-F,3rd quarter,22,Jul-Sep 2021,25-34,Maryland,race identified,0,3,0,0,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,outside (Bay Area)
the Exploratorium,QR,R_30wqmBs2AzvJCcU,493.512,7/1/21,EN,Safari iPhone,Unknown,iPhone,375x667,10,Promoter, ,TRUE, , , , ,Yes, , ,Yes, , , , , , , , ,Outstanding,Everything was exceptional, , , , , , , , , , , , ,A little concerned,Fully addressed my concerns, , ,Somewhat comfortable,Requiring a mask or face covering for all guests and staff indoors,Having hand sanitizer available for guests to use, , , , , , , ,10,10,9, ,10,10, , , , , , , , , ,4.413,13.909,15.795,7,Visited the indoor exhibit galleries,Visited the outdoor exhibit gallery, , , , , , , , , , , , , , , ,Vacation trip, , , ,I heard about it from friends/family, , , , , , , , , , ,No, ,"Ride service (Taxy, Lyft, Uber, etc.)", , ,Family (with children), , , , , , , ,English, , , , , , , , , , , , , , , , , , , , , , , ,Yes,Yes, ,Yes,74074, ,My group included out-of-towners only, ,Never,1,4,3, , , , , ,White, , , ,No,Graduate degree, , ,Prefer not to say, ,No, , , , , , , , ,66,Man, ,65+,35-44,35-44, , , , , , ,Woman,Man,Woman, , , , , , , ,12-Aug,12-Aug,7-Apr, , , , , , , ,Boy,Boy,Boy, , , , , , , , , ,2,West,Science,Large,Pacific,July,2021,QR,15:31:53, , ,Thursday,M-F,3rd quarter,22,Jul-Sep 2021,65+,Oklahoma,race identified,3,0,0,0,2,2,0,0,0,1,2,0,0,0,0,0,2,0,0,2,0,0,outside (Bay Area)
the Exploratorium,Staffed,R_2P0aUTVT7bnoTeF, ,7/1/21,EN,Safari iPad,14.0.2,iPad,768x1024,9,Promoter,Wide variety of exhibits,TRUE, ,Yes, , ,Yes, , , , , , , , , , , ,Excellent, , , , , , , , , , , , , ,Not at all concerned, , , ,Somewhat comfortable,Requiring a mask or face covering for all guests and staff indoors,Having hand sanitizer available for guests to use,"Sanitizing ""high touch"" areas and exhibits frequently", ,Limiting the number of guests by making reservations for a specific date and time to visit, , , ,11:30 AM,10,9, , ,9, , , , , , , , , , ,1.839,12.318,13.121,5,Visited the indoor exhibit galleries, , , , , , , , , , , , ,To visit the Exploratorium, , , , , , ,I have known about the Exploratorium for a long time, , , , , , , , , , , ,No, ,Public transit, ,Friend(s), , , , , , , , ,English, , , , , , , , , , , , , , , , , , , , , , , ,No,No, ,Yes,94709, ,My group included locals only, ,1-2 years ago,1,7,0, , , , , ,White, , , ,Yes,Some college, , ,Prefer not to say, ,Prefer not to say, , , , , , , , ,22,Man, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,Pacific,July,2021,tablet,15:33:21,14601,4-5 hrs,Thursday,M-F,3rd quarter,22,Jul-Sep 2021,18-24,California,race identified,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Alamdea
the Exploratorium,Staffed,R_2CWenO4ezvlk2FV, ,7/1/21,EN,Safari iPad,14.0.1,iPad,768x1024,10,Promoter, ,TRUE, , , , ,Yes, , ,Yes, , , , , , , , ,Outstanding, , , , , , , , , , , , , ,A little concerned,Fully addressed my concerns, , ,Comfortable,Requiring a mask or face covering for all guests and staff indoors, , , , , , , ,2:00 PM,10,10,10, ,10,10,10,10, , , , , , , ,2.268,16.664,17.596,5,Visited the indoor exhibit galleries,Visited the outdoor exhibit gallery, , , , , , , , , , , , , , , ,Vacation trip, , , , ,I read about it in a travel guide, , ,It was listed on my CityPass, , , , , , ,No, ,Walking or biking, ,Friend(s), ,Significant other, , , , , , ,English, , , , , , , , , , , , , , , , , , , , , , , ,Yes, , ,Yes, , ,My group included out-of-towners only, ,More than 10 years ago,1,2,0, , , ,Hispanic or Latino/a/x, ,White, , , ,No,College degree, , ,"$75,000 - $99,999", ,No, , , , , , , , ,60,Woman, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,Pacific,July,2021,tablet,15:47:40,6460,1-2 hrs,Thursday,M-F,3rd quarter,22,Jul-Sep 2021,55-64, ,race identified,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, 
the Exploratorium,Staffed,R_sZ5cC6vQgLo7NCh,320.182,7/1/21,EN,Safari iPad,14.0.1,iPad,768x1024,10,Promoter, ,TRUE, , , , , , , ,Yes,Yes, , , , , , , ,Outstanding, , , , , , , , , , , , , ,A little concerned,Fully addressed my concerns, , ,Somewhat comfortable, ,Having hand sanitizer available for guests to use, , , ,Limiting guests to 50% of normal capacity, , ,1:30 PM,10,10,10, ,9,7, , , , , , , , , ,2.11,4.095,5.477,3,Visited the indoor exhibit galleries,Visited the outdoor exhibit gallery, , , , , , , , , , , , ,I live in San Francisco, , , , , ,I have known about the Exploratorium for a long time, , , , , , , , , , , ,No, ,Driving, , ,Family (with children), , , , , , , ,English, , , , , , , , , , , , , , , , , , , , , , , , , , ,Yes, , , , ,More than 10 years ago,1, , , , , , , ,White, , , ,Yes,Graduate degree, , , , , , , , , , , , , , ,Woman, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,Pacific,July,2021,tablet,15:55:17,8717,2-3 hrs,Thursday,M-F,3rd quarter,22,Jul-Sep 2021,Not reported, ,race identified,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, 
