Site,Method,ResponseId,duration,date,language,metadata_Browser,metadata_Version,metadata_Operating_System,metadata_Resolution,NPS,NPS_GROUP,npswhy,Finished,visit_date,motivations_normalroutine,motivations_supportsite,motivations_relax,motivations_spendtime,motivations_show,motivations_showplus2,motivations_fun_group,motivations_education_group,motivations_education_self,motivations_fun_self,motivations_other,motivations_area,motivations_other_text,exprogshow_explo,exprogshow_explo_4_TEXT,OER,oerwhy,why_oerbad_explo_1,why_oerbad_explo_2,why_oerbad_explo_3,why_oerbad_explo_4,why_oerbad_explo_5,why_oerbad_explo_6,why_oerbad_explo_7,why_oerbad_explo_8,why_oerbad_explo_9,why_oerbad_explo_10,why_oerbad_explo_11,why_oerbad_explo_11_TEXT,previsit_health,postvisit_health,explain_health_good,explain_health_bad,how_handson,explo_healthpractice_1,explo_healthpractice_2,explo_healthpractice_3,explo_healthpractice_4,explo_healthpractice_5,explo_healthpractice_6,explo_healthpractice_7,explo_healthpractice_8,entrytime,ed_quality,ent_quality,valuecost,acton_belonging,exgoodorder,staff_helpful,cafe_exp,giftshop_exp,web_helpful,museum_clean,wayfinding,staff_friendly,restrooms,ratings_ctsc_subway,ratings_ctsc_concessions,timing_explo_First_Click,timing_explo_Last_Click,timing_explo_Page_Submit,timing_explo_Click_Count,seedo_explo_1,seedo_explo_4,seedo_explo_10,seedo_explo_11,seedo_explo_12,seedo_explo_13,seedo_explo_5,seedo_explo_6,seedo_explo_7,seedo_explo_8,seedo_explo_9,seedo_explo_8_TEXT,why_sf_explo_1,why_sf_explo_2,why_sf_explo_3,why_sf_explo_4,why_sf_explo_5,why_sf_explo_6,why_sf_explo_7,why_sf_explo_7_TEXT,howhear_explo_1,howhear_explo_4,howhear_explo_5,howhear_explo_6,howhear_explo_7,howhear_explo_8,howhear_explo_9,howhear_explo_10,howhear_explo_11,howhear_explo_12,howhear_explo_3,howhear_explo_3_TEXT,adremember_explo,adaffect_explo,howarrive_explo,howarrive_explo_5_TEXT,groupmembers_explo_1,groupmembers_explo_4,groupmembers_explo_5,groupmembers_explo_6,groupmembers_explo_7,groupmembers_explo_8,groupmembers_explo_9,groupmembers_explo_3,groupmembers_explo_3_TEXT,language_explo_1,language_explo_4,language_explo_5,language_explo_6,language_explo_7,language_explo_8,language_explo_9,language_explo_10,language_explo_11,language_explo_12,language_explo_13,language_explo_14,language_explo_15,language_explo_16,language_explo_17,language_explo_18,language_explo_19,language_explo_20,language_explo_21,language_explo_22,language_explo_23,language_explo_24,language_explo_3,language_explo_3_TEXT,evermarried_explo,childrenotwith_explo,explo_emergadult,liveinus,zip,non_US,group,lastvisit_covid,lastvisit,howmanyvisits,Nadults,Nchild,race_amind_alask,race_asian,race_afram,race_hisp_lat,race_haw_pacis,race_white,race_other,race_notsay,race_other_text,lgbt,education,education_7_TEXT,income,income_pre,income_covid,disability,dis_mobility,dis_visual,dis_auditory,dis_learning,dis_cognitive,dis_other,dis_notsay,dis_other_text,age,adult1_gender,gender_3_TEXT,adult2_age,adult3_age,adult4_age,adult5_age,adult6_age,adult7_age,adult8_age,adult9_age,adult10_age,adult2_gender,adult3_gender,adult4_gender,adult5_gender,adult6_gender,adult7_gender,adult8_gender,adult9_gender,adult10_gender,adult10plus,child1_age,child2_age,child3_age,child4_age,child5_age,child6_age,child7_age,child8_age,child9_age,child10_age,child1_gender,child2_gender,child3_gender,child4_gender,child5_gender,child6_gender,child7_gender,child8_gender,child9_gender,child10_gender,child10plus,comments,member,AAM_Region,Museum_Type,Size,timezone,month,CY,QR,exittime,staytime0,staytime,day_of_week,weekend,quarter,FY,FYQ,adult1_age,state,race_norace,tot_boy,tot_girl,tot_childgen_other,tot_childgen_notsay,tot_male,tot_female,tot_other,tot_gennotsay,tot_0_3,tot_4_7,tot_8_12,tot_13_17,tot_childage_notsay,tot_childage_dontknow,tot_18_24,tot_25_34,tot_35_44,tot_45_54,tot_55_64,tot_65,tot_agenotsay,tot_agedontknow,zips_explo
the Exploratorium,Staffed,R_7Vbgl72N39YJ5bX,271.11,7/1/21,1,Safari iPad,14.0.2,iPad,768x1024,8,2, ,1, , , , , , , ,1, , , , , , , , ,5, , , , , , , , , , , , , ,4, , , ,5,1,1,1, , , , , ,9,10,9,10, ,9,10, ,10, , , , , , , ,2.928,18.319,19.201,6,1,1,1, , , , ,1, , , , ,1, , , , , , , , , ,1, , , , , , , , , ,2, ,2, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,1,22042, ,3, ,8,1,2,1, , , ,1, ,1, , , ,2,4, , ,5, ,2, , , , , , , , ,47,2, ,1, , , , , , , , ,1, , , , , , , , , ,4, , , , , , , , , ,2, , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,13:47:52,10072,4,5,0,3,22,21,4,46,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
the Exploratorium,Staffed,R_3fOZ2TIZE8aIIHD,298.499,7/1/21,1,Safari iPad,14.0.2,iPad,768x1024,9,3, ,1, , , , , , , ,1, , , , , , , , ,4, , , , , , , , , , , , , ,4, , , ,5, ,1,1, , , , , ,8,9,9,9, ,9,9, , , , , , , , , ,6.717,13.62,17.08,6,1,1, , , , ,1, , , , , ,1, , , , , , , ,1, , , , , , , , , , , ,2, ,3, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,95492, ,3, ,5,1,2,2, , , , , ,1, , , ,2,4, , ,8, ,2, , , , , , , , ,50,1, ,2, , , , , , , , ,2, , , , , , , , , ,4,2, , , , , , , , ,1,2, , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,14:21:41,13001,5,5,0,3,22,21,4,5,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,9
the Exploratorium,Staffed,R_bvfkjfE5WZZqwaB,96.773,7/1/21,1,Safari iPad,14.0.1,iPad,768x1024, , ,Test,1, , , ,1, , , , , ,1, , , , , , ,3, , ,1, , , ,1, , , ,1, , ,1, , , ,1, , , , , ,1, , ,3,6,6,6, ,8,8,8,8, , , , , , , ,1.667,3.748,4.442,4,1, , , , , , , ,1, , , ,1, , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,2,6, , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Test, ,West,Science,Large,3,7,2021,0,14:27:47,17867,6,5,0,3,22,21,7, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, 
the Exploratorium,Staffed,R_1OvsBMmGU14SUgs,246.183,7/1/21,1,Safari iPad,14.0.2,iPad,768x1024,10,3, ,1, , , , ,1, , , , , ,1, , , , , ,4,Exhibits, , , , , , , , , , , , ,2,4,Loved the hand sanitizer stations, ,5,1,1,1, ,1, , , ,11,10,10,10, ,10,10,10,10, , , , , , , ,2.483,10.014,10.815,8,1,1,1, , , , ,1,1, , , , , , , , ,1, , , , , , , ,1, , , , , , ,2, ,2, , ,1,1, , , , , , ,1, , , , , , , , , , , , , , , , ,1, , , , , , ,1,1, ,1,92057, ,3, ,8,1,2,3, , , , ,1,1, , , ,1,6, , ,8, ,1,1, , , , , , , ,33,2, ,2, , , , , , , , ,1, , , , , , , , , ,3,3,4, , , , , , , ,3,2,1, , , , , , , , , ,2,West,Science,Large,3,7,2021,0,14:28:40,10720,4,5,0,3,22,21,2,5,0,1,1,1,0,1,1,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0
the Exploratorium,Staffed,R_0chxQYkv2Ccf3wt,941.742,7/1/21,1,Safari iPad,14.0.2,iPad,768x1024,10,3, ,1, , , , , , , ,1, , ,1, , , , , ,3,"Fun, interactive and variety", , , , , , , , , , , , ,4, , , ,3,1,1,1,1, , , , ,16,10,8,7, ,7,10, , , , , , , , , ,4.73,13.632,14.545,6,1, , , , , ,1, , , , , , , , , , ,1, , , ,1, , , , , , , , , , ,2, ,1, ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1,1532, ,3, ,8,1,2,0, ,1, , , ,1, , , ,1,3, , ,10, ,2, , , , , , , , ,19,2, ,1, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Thank you }:),2,West,Science,Large,3,7,2021,0,14:48:05,7385,4,5,0,3,22,21,1,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
the Exploratorium,Staffed,R_sOwQFvF8Qy3L3Vv, ,7/1/21,1,Safari iPad,14.0.1,iPad,768x1024,8,2,Because it was an adventure that was amazing with all this amazing science,1, , , , ,1, , ,1, , , , , , , , ,4, , , , , , , , , , , , , ,3,3, , ,4,1,1,1,1,1,1, , ,9,4,9,6, ,9,7, , , , , , , , , ,1.458,43.259,44.527,8,1,1,1, , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , ,1,2,2, , ,1, , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , ,2,2, ,1,20706, ,3, ,8,1,2,3, , ,1, , , , , , ,2,6, , ,11, ,2, , , , , , , , ,30,2, ,3, , , , , , , , , , , , , , , , , , ,3,3,2, , , , , , , ,2,2,2, , , , , , , , , ,2,West,Science,Large,3,7,2021,0,15:02:48,14568,6,5,0,3,22,21,2,20,0,0,3,0,0,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0
the Exploratorium,QR,R_30wqmBs2AzvJCcU,493.512,7/1/21,1,Safari iPhone,Unknown,iPhone,375x667,10,3, ,1, , , , ,1, , ,1, , , , , , , , ,5,Everything was exceptional, , , , , , , , , , , , ,3,4, , ,4,1,1, , , , , , , ,10,10,9, ,10,10, , , , , , , , , ,4.413,13.909,15.795,7,1,1, , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , ,2, ,3, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,74074, ,3, ,8,1,4,3, , , , , ,1, , , ,2,6, , ,11, ,2, , , , , , , , ,66,1, ,6,3,3, , , , , , ,2,1,2, , , , , , , ,3,3,2, , , , , , , ,1,1,1, , , , , , , , , ,2,West,Science,Large,3,7,2021,1,15:31:53, , ,5,0,3,22,21,6,36,0,3,0,0,0,2,2,0,0,0,1,2,0,0,0,0,0,2,0,0,2,0,0,0
the Exploratorium,Staffed,R_2P0aUTVT7bnoTeF, ,7/1/21,1,Safari iPad,14.0.2,iPad,768x1024,9,3,Wide variety of exhibits,1, ,1, , ,1, , , , , , , , , , , ,4, , , , , , , , , , , , , ,4, , , ,4,1,1,1, ,1, , , ,11,10,9, , ,9, , , , , , , , , , ,1.839,12.318,13.121,5,1, , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , ,2, ,4, ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1,94709, ,1, ,4,1,7,0, , , , , ,1, , , ,1,3, , ,11, ,3, , , , , , , , ,22,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,15:33:21,14601,6,5,0,3,22,21,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
the Exploratorium,Staffed,R_2CWenO4ezvlk2FV, ,7/1/21,1,Safari iPad,14.0.1,iPad,768x1024,10,3, ,1, , , , ,1, , ,1, , , , , , , , ,5, , , , , , , , , , , , , ,3,4, , ,5,1, , , , , , , ,21,10,10,10, ,10,10,10,10, , , , , , , ,2.268,16.664,17.596,5,1,1, , , , , , , , , , , , , , , ,1, , , , ,1, , ,1, , , , , , ,2, ,1, ,1, ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , ,3, ,7,1,2,0, , , ,1, ,1, , , ,2,4, , ,4, ,2, , , , , , , , ,60,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,15:47:40,6460,3,5,0,3,22,21,5, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, 
the Exploratorium,Staffed,R_sZ5cC6vQgLo7NCh,320.182,7/1/21,1,Safari iPad,14.0.1,iPad,768x1024,10,3, ,1, , , , , , , ,1,1, , , , , , , ,5, , , , , , , , , , , , , ,3,4, , ,4, ,1, , , ,1, , ,19,10,10,10, ,9,7, , , , , , , , , ,2.11,4.095,5.477,3,1,1, , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , ,2, ,2, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,7,1, , , , , , , ,1, , , ,1,6, , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,West,Science,Large,3,7,2021,0,15:55:17,8717,4,5,0,3,22,21,7, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, 
